Year,Physics,Chemistry,Physiology or Medicine,Literature,Peace,Economics
1977,"Philip Warren Anderson;
Nevill Francis Mott;
John Hasbrouck Van Vleck",Ilya Prigogine,"Roger Guillemin;
Andrew Schally;
Rosalyn Sussman Yalow",Vicente Aleixandre,Amnesty International,"Bertil Ohlin;
James Meade"
1978,"Pyotr Kapitsa;
Arno Allan Penzias;
Robert Woodrow Wilson",Peter D. Mitchell,"Werner Arber;
Daniel Nathans;
Hamilton O. Smith",Isaac Bashevis Singer,"Anwar Sadat;
Menachem Begin",Herbert A. Simon
1979,"Sheldon Lee Glashow;
Abdus Salam;
Steven Weinberg","Herbert C. Brown;
Georg Wittig","Allan McLeod Cormack;
Godfrey Hounsfield",Odysseas Elytis,Mother Teresa,"Theodore Schultz;
Arthur Lewis"
1980,"James Cronin;
Val Logsdon Fitch","Paul Berg;
Walter Gilbert;
Frederick Sanger","Baruj Benacerraf;
Jean Dausset;
George Davis Snell",Czes??aw Mi??osz,Adolfo P??rez Esquivel,Lawrence Klein
1981,"Nicolaas Bloembergen;
Arthur Leonard Schawlow;
Kai Siegbahn","Kenichi Fukui;
Roald Hoffmann","Roger Wolcott Sperry;
David H. Hubel;
Torsten Wiesel",Elias Canetti,United Nations High Commissioner for Refugees,James Tobin
1982,Kenneth G. Wilson,Aaron Klug,"Sune Bergstr??m;
Bengt I. Samuelsson;
John Vane",Gabriel Garc??a M??rquez,"Alva Myrdal;
Alfonso Garc??a Robles",George Stigler
1983,"Subrahmanyan Chandrasekhar;
William Alfred Fowler",Henry Taube,Barbara McClintock,William Golding,Lech Wa????sa,G??rard Debreu
1984,"Carlo Rubbia;
Simon van der Meer",Robert Bruce Merrifield,"Niels Kaj Jerne;
Georges J. F. K??hler;
C??sar Milstein",Jaroslav Seifert,Desmond Tutu,Richard Stone
1985,Klaus von Klitzing,"Herbert A. Hauptman;
Jerome Karle","Michael Stuart Brown;
Joseph L. Goldstein",Claude Simon,International Physicians for the Prevention of Nuclear War,Franco Modigliani
1986,"Ernst Ruska;
Gerd Binnig;
Heinrich Rohrer","Dudley R. Herschbach;
Yuan T. Lee;
John Polanyi","Stanley Cohen;
Rita Levi-Montalcini",Wole Soyinka,Elie Wiesel,James M. Buchanan
1987,"Johannes Georg Bednorz;
Karl Alexander M??ller","Donald J. Cram;
Jean-Marie Lehn;
Charles J. Pedersen",Susumu Tonegawa,Joseph Brodsky,??scar Arias,Robert Solow
1988,"Leon M. Lederman;
Melvin Schwartz;
Jack Steinberger","Johann Deisenhofer;
Robert Huber;
Hartmut Michel","James W. Black;
Gertrude B. Elion;
George H. Hitchings",Naguib Mahfouz,United Nations Peace-Keeping Forces,Maurice Allais
1989,"Norman Foster Ramsey, Jr.;
Hans Georg Dehmelt;
Wolfgang Paul","Sidney Altman;
Thomas Cech","J. Michael Bishop;
Harold E. Varmus",Camilo Jos?? Cela,Tenzin Gyatso (The Dalai Lama),Trygve Haavelmo
1990,"Jerome Isaac Friedman;
Henry Way Kendall;
Richard E. Taylor",Elias James Corey,"Joseph Murray;
E. Donnall Thomas",Octavio Paz,Mikhail Gorbachev,"Harry Markowitz;
Merton Miller;
William F. Sharpe"
1991,Pierre-Gilles de Gennes,Richard R. Ernst,"Erwin Neher;
Bert Sakmann",Nadine Gordimer,Aung San Suu Kyi,Ronald Coase
1992,Georges Charpak,Rudolph A. Marcus,"Edmond H. Fischer;
Edwin G. Krebs",Derek Walcott,Rigoberta Mench??,Gary Becker
1993,"Russell Alan Hulse;
Joseph Hooton Taylor, Jr.","Kary Mullis;
Michael Smith","Richard J. Roberts;
Phillip Allen Sharp",Toni Morrison,"Nelson Mandela;
F. W. de Klerk","Robert Fogel;
Douglass North"
1994,"Bertram Brockhouse;
Clifford Shull",George Andrew Olah,"Alfred G. Gilman;
Martin Rodbell",Kenzabur?? ??e,"Yasser Arafat;
Shimon Peres;
Yitzhak Rabin","John Harsanyi;
John Forbes Nash, Jr.;
Reinhard Selten"
1995,"Martin Lewis Perl;
Frederick Reines","Paul J. Crutzen;
Mario J. Molina;
Frank Sherwood Rowland","Edward B. Lewis;
Christiane N??sslein-Volhard;
Eric F. Wieschaus",Seamus Heaney,"Joseph Rotblat;
Pugwash Conferences on Science and World Affairs","Robert Lucas, Jr."
1996,"David Lee;
Douglas Osheroff;
Robert Coleman Richardson","Robert F. Curl Jr.;
Harry Kroto;
Richard Smalley","Peter C. Doherty;
Rolf M. Zinkernagel",Wis??awa Szymborska,"Carlos Filipe Ximenes Belo;
Jos?? Ramos-Horta","James Mirrlees;
William Vickrey"
1997,"Steven Chu;
Claude Cohen-Tannoudji;
William Daniel Phillips","Paul D. Boyer;
John E. Walker;
Jens Christian Skou",Stanley B. Prusiner,Dario Fo,"International Campaign to Ban Landmines;
Jody Williams","Robert C. Merton;
Myron Scholes"
1998,"Robert B. Laughlin;
Horst Ludwig St??rmer;
Daniel C. Tsui","Walter Kohn;
John Pople","Robert F. Furchgott;
Louis Ignarro;
Ferid Murad",Jos?? Saramago,"John Hume;
David Trimble",Amartya Sen
1999,"Gerard 't Hooft;
Martinus J. G. Veltman",Ahmed Zewail,G??nter Blobel,G??nter Grass,M??decins Sans Fronti??res,Robert Mundell
2000,"Zhores Alferov;
Herbert Kroemer;
Jack Kilby","Alan J. Heeger;
Alan MacDiarmid;
Hideki Shirakawa","Arvid Carlsson;
Paul Greengard;
Eric Kandel",Gao Xingjian,Kim Dae-jung,"James Heckman;
Daniel McFadden"
2001,"Eric Allin Cornell;
Wolfgang Ketterle;
Carl Wieman","William Standish Knowles;
Ry??ji Noyori;
Karl Barry Sharpless","Leland H. Hartwell;
Tim Hunt;
Paul Nurse",V. S. Naipaul,"United Nations;
Kofi Annan","George Akerlof;
Michael Spence;
Joseph Stiglitz"
2002,"Raymond Davis, Jr.;
Masatoshi Koshiba;
Riccardo Giacconi","John Fenn;
Koichi Tanaka;
Kurt W??thrich","Sydney Brenner;
H. Robert Horvitz;
John Sulston",Imre Kert??sz,Jimmy Carter,"Daniel Kahneman;
Vernon L. Smith"
2003,"Alexei Alexeyevich Abrikosov;
Vitaly Ginzburg;
Anthony James Leggett","Peter Agre;
Roderick MacKinnon","Paul Lauterbur;
Peter Mansfield",J. M. Coetzee,Shirin Ebadi,"Robert F. Engle;
Clive Granger"
2004,"David Gross;
Hugh David Politzer;
Frank Wilczek","Aaron Ciechanover;
Avram Hershko;
Irwin Rose","Richard Axel;
Linda B. Buck",Elfriede Jelinek,Wangari Maathai,"Finn E. Kydland;
Edward C. Prescott"
2005,"Roy J. Glauber;
John L. Hall;
Theodor W. H??nsch","Yves Chauvin;
Robert H. Grubbs;
Richard R. Schrock","Barry Marshall;
Robin Warren",Harold Pinter,"International Atomic Energy Agency;
Mohamed ElBaradei","Robert Aumann;
Thomas Schelling"
2006,"John C. Mather;
George Smoot",Roger D. Kornberg,"Andrew Fire;
Craig Mello",Orhan Pamuk,"Muhammad Yunus;
Grameen Bank",Edmund Phelps
2007,"Albert Fert;
Peter Gr??nberg",Gerhard Ertl,"Mario Capecchi;
Martin Evans;
Oliver Smithies",Doris Lessing,"Intergovernmental Panel on Climate Change;
Al Gore","Leonid Hurwicz;
Eric Maskin;
Roger Myerson"
2008,"Yoichiro Nambu;
Makoto Kobayashi;
Toshihide Maskawa","Osamu Shimomura;
Martin Chalfie;
Roger Y. Tsien","Harald zur Hausen;
Fran??oise Barr??-Sinoussi;
Luc Montagnier",J. M. G. Le Cl??zio,Martti Ahtisaari,Paul Krugman
2009,"Charles K. Kao;
Willard S. Boyle;
George E. Smith","Venkatraman Ramakrishnan;
Thomas A. Steitz;
Ada Yonath","Elizabeth Blackburn;
Carol W. Greider;
Jack W. Szostak",Herta M??ller,Barack Obama,"Elinor Ostrom;
Oliver E. Williamson"
2010,"Andre Geim;
Konstantin Novoselov","Richard F. Heck;
Ei-ichi Negishi;
Akira Suzuki",Robert G. Edwards,Mario Vargas Llosa,Liu Xiaobo[F],"Peter A. Diamond;
Dale T. Mortensen;
Christopher A. Pissarides"
2011,"Saul Perlmutter;
Adam G. Riess;
Brian Schmidt",Dan Shechtman,"Bruce Beutler;
Jules A. Hoffmann;
Ralph M. Steinman",Tomas Transtr??mer,"Ellen Johnson Sirleaf;
Leymah Gbowee;
Tawakel Karman","Thomas J. Sargent;
Christopher A. Sims"
2012,"Serge Haroche;
David J. Wineland","Brian K. Kobilka;
Robert J. Lefkowitz","John B. Gurdon;
Shinya Yamanaka",Mo Yan,European Union,"Alvin E. Roth;
Lloyd S. Shapley"
2013,"Fran??ois Englert;
Peter W. Higgs","Martin Karplus;
Michael Levitt;
Arieh Warshel","James E. Rothman;
Randy W. Schekman;
Thomas C. S??dhof",Alice Munro,Organisation for the Prohibition of Chemical Weapons,"Eugene F. Fama;
Lars Peter Hansen;
Robert J. Shiller"
2014,"Isamu Akasaki;
Hiroshi Amano;
Shuji Nakamura","Eric Betzig;
Stefan Hell;
William Moerner","John O'Keefe;
May-Britt Moser;
Edvard Moser",Patrick Modiano,"Kailash Satyarthi;
Malala Yousafzai",Jean Tirole
2015,"Takaaki Kajita;
Arthur B. McDonald","Tomas Lindahl;
Paul L. Modrich;
Aziz Sancar","William C. Campbell;
Satoshi ??mura;
Tu Youyou",Svetlana Alexievich,Tunisian National Dialogue Quartet,Angus Deaton
2016,"David J. Thouless;
Duncan Haldane;
John M. Kosterlitz","Jean-Pierre Sauvage;
Fraser Stoddart;
Ben Feringa",Yoshinori Ohsumi,Bob Dylan,Juan Manuel Santos,"Oliver Hart;
Bengt R. Holmstr??m"
2017, "Rainer Weiss; Barry Barish; Kip Thorne", "Jacques Dubochet;Joachim Frank;Richard Henderson", "Jeffrey C. Hall; Michael Rosbash; Michael W. Young", "Kazuo Ishiguro", "International Campaign to Abolish Nuclear Weapons", "Richard Thaler"
2018, "Gérard Mourou; Arthur Ashkin; Donna Strickland", "Frances H Arnold; George P Smith; and Gregory P Winter", "James P. Allison; Tasuku Honjo",,, "Paul Romer; William Nordhaus"
